a/b,fs/threshold,numInp,cnum,bias,svrc,svrp,trnq2,chkq2
a,0.85,284.0,2.0,3.355,1.0,0.05,0.661,0.505
a,0.86,361.0,2.0,3.624,1.0,0.05,0.725,0.507
a,0.87,439.0,2.0,2.84,1.0,0.05,0.754,0.525
a,0.88,542.0,2.0,2.501,1.0,0.05,0.748,0.556
a,0.89,695.0,2.0,2.298,1.0,0.05,0.771,0.557
a,0.9,860.0,2.0,2.329,1.0,0.05,0.788,0.572
a,0.91,1049.0,2.0,2.243,1.0,0.05,0.83,0.596
